day,1 USD=
09-03-2021,72.64835
10-03-2021,72.56135
11-03-2021,72.4474
12-03-2021,72.4474
13-03-2021,72.7049
14-03-2021,73.44335
15-03-2021,73.15625
16-03-2021,73.29665
17-03-2021,73.3824
18-03-2021,73.37805
19-03-2021,73.23415
20-03-2021,73.4877
21-03-2021,74.33405
22-03-2021,74.58515
23-03-2021,74.73265
24-03-2021,74.725
25-03-2021,74.725
26-03-2021,75.0071
27-03-2021,75.28575
28-03-2021,74.9894
29-03-2021,74.7259
30-03-2021,74.57455
31-03-2021,74.5405
01-04-2021,74.5405
02-04-2021,74.8701
03-04-2021,75.4091
04-04-2021,75.3761
05-04-2021,75.12595
06-04-2021,74.9283
07-04-2021,74.9305
08-04-2021,74.9305
09-04-2021,74.7085
10-04-2021,74.5965
11-04-2021,74.47075
12-04-2021,74.0964
13-04-2021,73.95545
14-04-2021,74.0955
15-04-2021,74.0955
16-04-2021,73.83155
17-04-2021,73.7449
18-04-2021,73.7698
19-04-2021,73.59435
20-04-2021,73.27735
21-04-2021,73.2545
22-04-2021,73.2545
23-04-2021,73.4065
24-04-2021,73.37705
25-04-2021,73.63815
26-04-2021,73.444
27-04-2021,73.25365
28-04-2021,73.2791
29-04-2021,73.2791
30-04-2021,73.34585
01-05-2021,73.0509
02-05-2021,73.1796
03-05-2021,73.04655
04-05-2021,72.91805
05-05-2021,72.9105
06-05-2021,72.9105
07-05-2021,72.90345
08-05-2021,72.79505
09-05-2021,72.72625
10-05-2021,72.62185
11-05-2021,72.4287
12-05-2021,72.3937
13-05-2021,72.3937
14-05-2021,72.51185
15-05-2021,72.8754
16-05-2021,72.97695
17-05-2021,73.06225
18-05-2021,72.87735
19-05-2021,73.14705
20-05-2021,73.14705
21-05-2021,72.80945
22-05-2021,72.9635
23-05-2021,72.9921
24-05-2021,73.041
25-05-2021,73.2789
26-05-2021,73.2318
27-05-2021,73.2318
28-05-2021,73.1844
29-05-2021,73.36245
30-05-2021,73.28755
31-05-2021,74.3372
01-06-2021,74.1436
02-06-2021,74.1441
03-06-2021,74.1441
04-06-2021,74.1881
05-06-2021,74.3355
06-06-2021,74.20145
07-06-2021,74.21315
08-06-2021,74.1722
09-06-2021,74.225
10-06-2021,74.2205
11-06-2021,74.27005
12-06-2021,74.2374
13-06-2021,74.3048
14-06-2021,74.56415
15-06-2021,74.52065
16-06-2021,74.5185
17-06-2021,74.5185
18-06-2021,74.3006
19-06-2021,74.75455
20-06-2021,74.80775
21-06-2021,74.7467
22-06-2021,74.5358
23-06-2021,74.4875
24-06-2021,74.4875
25-06-2021,74.55765
26-06-2021,74.5313
27-06-2021,74.5486
28-06-2021,74.54785
29-06-2021,74.6075
30-06-2021,74.6105
01-07-2021,74.6105
02-07-2021,74.9969
03-07-2021,74.57775
04-07-2021,74.4724
05-07-2021,74.45665
06-07-2021,74.4529
07-07-2021,74.4275
08-07-2021,74.4275
09-07-2021,74.3328
10-07-2021,74.5207
11-07-2021,74.4838
12-07-2021,74.26405
13-07-2021,74.3463
14-07-2021,74.3793
15-07-2021,74.3793
16-07-2021,74.3439
17-07-2021,74.2143
18-07-2021,74.19415
19-07-2021,74.10105
20-07-2021,74.22975
21-07-2021,74.24205
22-07-2021,74.2105
23-07-2021,74.46555
24-07-2021,74.43825
25-07-2021,74.22415
26-07-2021,74.2936
27-07-2021,74.20585
28-07-2021,74.217
29-07-2021,74.217
30-07-2021,74.178
31-07-2021,74.3996
01-08-2021,74.2947
02-08-2021,74.3297
03-08-2021,74.2937
04-08-2021,74.3525
05-08-2021,74.3525
06-08-2021,74.13105
07-08-2021,74.1584
08-08-2021,74.21155
09-08-2021,74.1383
10-08-2021,73.47085
11-08-2021,73.4968
12-08-2021,73.4968
13-08-2021,73.2171
14-08-2021,72.97925
15-08-2021,72.97995
16-08-2021,73.01335
17-08-2021,73.00815
18-08-2021,72.99465
19-08-2021,72.99465
20-08-2021,73.1199
21-08-2021,73.43075
22-08-2021,73.8141
23-08-2021,73.53845
24-08-2021,73.5141
25-08-2021,73.5261
26-08-2021,73.5261
27-08-2021,73.61895
28-08-2021,73.6406
29-08-2021,73.5138
30-08-2021,73.57125
31-08-2021,73.6436
01-09-2021,73.695
02-09-2021,73.695
03-09-2021,73.67865
04-09-2021,73.73235
05-09-2021,73.82575
06-09-2021,73.81525
07-09-2021,73.75565
08-09-2021,74.04655
09-09-2021,74.04655
10-09-2021,73.82945
11-09-2021,74.19405
12-09-2021,74.3577
13-09-2021,74.23855
14-09-2021,74.16875
15-09-2021,74.145
16-09-2021,74.145
17-09-2021,74.52975
18-09-2021,74.53055
19-09-2021,74.84825
20-09-2021,74.85025
21-09-2021,75.1872
22-09-2021,75.1315
23-09-2021,75.1315
24-09-2021,75.4028
25-09-2021,75.4278
26-09-2021,75.29735
27-09-2021,75.03165
28-09-2021,74.99645
29-09-2021,75.035
30-09-2021,75.035
01-10-2021,75.2783
02-10-2021,75.0708
03-10-2021,74.80965
04-10-2021,74.82955
05-10-2021,75.00015
06-10-2021,74.99925
07-10-2021,74.9995
08-10-2021,75.025
09-10-2021,74.96225
10-10-2021,74.9478
11-10-2021,74.80185
12-10-2021,74.96395
13-10-2021,74.92855
14-10-2021,74.92855
15-10-2021,74.84965
16-10-2021,74.6226
17-10-2021,74.56785
18-10-2021,74.56845
19-10-2021,74.2018
20-10-2021,74.19135
21-10-2021,74.19135
22-10-2021,73.94005
23-10-2021,74.11925
24-10-2021,74.26225
25-10-2021,74.32105
26-10-2021,74.40675
27-10-2021,74.345
28-10-2021,74.345
29-10-2021,74.3689
30-10-2021,74.47075
31-10-2021,74.3616
01-11-2021,74.242
02-11-2021,74.2936
03-11-2021,74.31085
04-11-2021,74.31085
05-11-2021,74.40705
06-11-2021,74.4809
07-11-2021,74.5341
08-11-2021,74.5052
09-11-2021,75.10065
10-11-2021,75.053
11-11-2021,75.053
12-11-2021,75.12715
13-11-2021,75.1104
14-11-2021,74.8795
15-11-2021,74.90215
16-11-2021,75.25015
17-11-2021,75.2415
18-11-2021,75.2415
19-11-2021,75.38535
20-11-2021,75.4646
21-11-2021,75.42725
22-11-2021,75.58875
23-11-2021,75.6642
24-11-2021,75.7175
25-11-2021,75.7175
26-11-2021,75.8
27-11-2021,76.061
28-11-2021,76.4688
29-11-2021,76.21425
30-11-2021,76.30145
01-12-2021,76.0135
02-12-2021,76.0135
03-12-2021,75.81475
04-12-2021,75.68705
05-12-2021,75.4803
06-12-2021,75.04
07-12-2021,75.0749
08-12-2021,75.395
09-12-2021,75.395
10-12-2021,74.9206
11-12-2021,74.678
12-12-2021,74.56005
13-12-2021,74.4249
14-12-2021,74.523
15-12-2021,74.51405
16-12-2021,74.51405
17-12-2021,74.44405
18-12-2021,74.53045
19-12-2021,74.30575
20-12-2021,74.3845
21-12-2021,74.24095
22-12-2021,74.2775
23-12-2021,74.2775
24-12-2021,74.06345
25-12-2021,73.80165
26-12-2021,73.7959
27-12-2021,73.95855
28-12-2021,74.1074
29-12-2021,74.3865
30-12-2021,74.3865
31-12-2021,74.2847
01-01-2022,74.5677
02-01-2022,74.383
03-01-2022,74.3299
04-01-2022,74.33965
05-01-2022,74.42045
06-01-2022,74.42045
07-01-2022,74.72895
08-01-2022,74.7582
09-01-2022,74.90115
10-01-2022,75.2149
11-01-2022,74.9839
12-01-2022,75.00155
13-01-2022,75.0465
14-01-2022,74.5907
15-01-2022,74.80485
16-01-2022,74.79755
17-01-2022,74.705
18-01-2022,74.62145
19-01-2022,74.64245
20-01-2022,74.64245
21-01-2022,74.6769
22-01-2022,74.7133
23-01-2022,74.8197
24-01-2022,75.1217
25-01-2022,75.36715
